method,ARI,AMI,FMI,unlabeled_pctg,cluster_num,pred_type_max_pctg,supervised,dataset,complexity,entropy,seq_depth_med,seq_depth_IQR,cell_types,cell_type_max_pctg,sparsity,sample_num,gene_num,quantile,assigned
scmap_cluster...1,0.518782393925718,0.5705884207764222,0.5926649573358419,0.1012495994873438,9,0.20762576097404678,TRUE,PBMC_AllCells_withLabels,0.9396155057788501,1.9119929844029835,0.05072678730347078,0.0013349154553544892,8,0.20890740147388656,0.9780083264810937,3121,20226,0.05,NA
scmap_cell...2,0.2691469534564685,0.44741559506108497,0.49489279613902076,0.6180711310477411,9,0.6180711310477411,TRUE,PBMC_AllCells_withLabels,0.9396155057788501,1.9119929844029835,0.05072678730347078,0.0013349154553544892,8,0.20890740147388656,0.9780083264810937,3121,20226,0.05,NA
chetah...3,0.4456026864702215,0.539928150825216,0.5320904791699379,0.2255687279718039,9,0.2255687279718039,TRUE,PBMC_AllCells_withLabels,0.9396155057788501,1.9119929844029835,0.05072678730347078,0.0013349154553544892,8,0.20890740147388656,0.9780083264810937,3121,20226,0.05,NA
singlecellnet...4,0.5576415156564357,0.6312027472608717,0.635368210225649,0,8,0.2899711630887536,TRUE,PBMC_AllCells_withLabels,0.9396155057788501,1.9119929844029835,0.05072678730347078,0.0013349154553544892,8,0.20890740147388656,0.9780083264810937,3121,20226,0.05,NA
garnett...5,0.3047478172501113,0.33592891395050434,0.4119191617136583,0.24030759371996155,9,0.24030759371996155,TRUE,PBMC_AllCells_withLabels,0.9396155057788501,1.9119929844029835,0.05072678730347078,0.0013349154553544892,8,0.20890740147388656,0.9780083264810937,3121,20226,0.05,NA
singleR...6,0.4797706207552478,0.5960197603736099,0.5734135957849066,0,8,0.2915732137135533,TRUE,PBMC_AllCells_withLabels,0.9396155057788501,1.9119929844029835,0.05072678730347078,0.0013349154553544892,8,0.20890740147388656,0.9780083264810937,3121,20226,0.05,NA
cellassign...7,0.24781675619844076,0.39975063386254495,0.5286101493369575,0,5,0.7276513937840435,TRUE,PBMC_AllCells_withLabels,0.9396155057788501,1.9119929844029835,0.05072678730347078,0.0013349154553544892,8,0.20890740147388656,0.9780083264810937,3121,20226,0.05,NA
scmap_cluster...8,0.9900340829515437,0.909143235687344,0.9951520597999451,NA,NA,NA,TRUE,PBMC_AllCells_withLabels,0.9396155057788501,1.9119929844029835,0.05072678730347078,0.0013349154553544892,8,0.20890740147388656,0.9780083264810937,3121,20226,0.05,TRUE
scmap_cell...9,0.9896933654572944,0.9005712309637458,0.9949960869354437,NA,NA,NA,TRUE,PBMC_AllCells_withLabels,0.9396155057788501,1.9119929844029835,0.05072678730347078,0.0013349154553544892,8,0.20890740147388656,0.9780083264810937,3121,20226,0.05,TRUE
chetah...10,0.9893185852382281,0.9031601787903828,0.9948061657828635,NA,NA,NA,TRUE,PBMC_AllCells_withLabels,0.9396155057788501,1.9119929844029835,0.05072678730347078,0.0013349154553544892,8,0.20890740147388656,0.9780083264810937,3121,20226,0.05,TRUE
singlecellnet...11,0.9888828130572795,0.9036247828789429,0.9946008298872476,NA,NA,NA,TRUE,PBMC_AllCells_withLabels,0.9396155057788501,1.9119929844029835,0.05072678730347078,0.0013349154553544892,8,0.20890740147388656,0.9780083264810937,3121,20226,0.05,TRUE
garnett...12,0.9381683063215543,0.7202657415854995,0.9696326300304102,NA,NA,NA,TRUE,PBMC_AllCells_withLabels,0.9396155057788501,1.9119929844029835,0.05072678730347078,0.0013349154553544892,8,0.20890740147388656,0.9780083264810937,3121,20226,0.05,TRUE
singleR...13,0.9803338620309834,0.8501297091385376,0.990458277229711,NA,NA,NA,TRUE,PBMC_AllCells_withLabels,0.9396155057788501,1.9119929844029835,0.05072678730347078,0.0013349154553544892,8,0.20890740147388656,0.9780083264810937,3121,20226,0.05,TRUE
cellassign...14,0.9444414196946559,0.7502890448155413,0.9740536564107133,NA,NA,NA,TRUE,PBMC_AllCells_withLabels,0.9396155057788501,1.9119929844029835,0.05072678730347078,0.0013349154553544892,8,0.20890740147388656,0.9780083264810937,3121,20226,0.05,TRUE
scmap_cluster...15,0.28935291518759293,0.42217657151039306,0.4122609077025142,NA,NA,NA,TRUE,PBMC_AllCells_withLabels,0.9396155057788501,1.9119929844029835,0.05072678730347078,0.0013349154553544892,8,0.20890740147388656,0.9780083264810937,3121,20226,0.05,FALSE
scmap_cell...16,0.07445295864374356,0.2261983844163189,0.42925682804418647,NA,NA,NA,TRUE,PBMC_AllCells_withLabels,0.9396155057788501,1.9119929844029835,0.05072678730347078,0.0013349154553544892,8,0.20890740147388656,0.9780083264810937,3121,20226,0.05,FALSE
chetah...17,0.20757906375081595,0.3834532669897789,0.3532384985780478,NA,NA,NA,TRUE,PBMC_AllCells_withLabels,0.9396155057788501,1.9119929844029835,0.05072678730347078,0.0013349154553544892,8,0.20890740147388656,0.9780083264810937,3121,20226,0.05,FALSE
singlecellnet...18,0.37078568424876057,0.49422038347117475,0.5021545459401874,NA,NA,NA,TRUE,PBMC_AllCells_withLabels,0.9396155057788501,1.9119929844029835,0.05072678730347078,0.0013349154553544892,8,0.20890740147388656,0.9780083264810937,3121,20226,0.05,FALSE
garnett...19,0.06470611619292352,0.17271521502769757,0.23681905424887464,NA,NA,NA,TRUE,PBMC_AllCells_withLabels,0.9396155057788501,1.9119929844029835,0.05072678730347078,0.0013349154553544892,8,0.20890740147388656,0.9780083264810937,3121,20226,0.05,FALSE
