method,ARI,AMI,FMI,unlabeled_pctg,supervised,train_dataset,test_dataset,batch_effects_removed,assigned
garnett...47,0.10064751311612014,0.16161886264104003,0.3993714392139829,1,TRUE,PBMC_AllCells_withLabels,GSE96583_8_Ctrl_Pats,TRUE,NA
cellassign...48,0,0,0.37001200370147924,1,TRUE,PBMC_AllCells_withLabels,GSE96583_8_Ctrl_Pats,TRUE,NA
chetah...49,NA,NA,NA,NA,TRUE,PBMC_AllCells_withLabels,GSE96583_8_Ctrl_Pats,TRUE,TRUE
garnett...50,NA,NA,NA,NA,TRUE,PBMC_AllCells_withLabels,GSE96583_8_Ctrl_Pats,TRUE,TRUE
cellassign...51,NA,NA,NA,NA,TRUE,PBMC_AllCells_withLabels,GSE96583_8_Ctrl_Pats,TRUE,TRUE
chetah...52,0.3428264313821646,0.4328278863809852,0.44803727424437195,NA,TRUE,PBMC_AllCells_withLabels,GSE96583_8_Ctrl_Pats,TRUE,FALSE
garnett...53,0.10064751311612014,0.16161886264104003,0.3993714392139829,NA,TRUE,PBMC_AllCells_withLabels,GSE96583_8_Ctrl_Pats,TRUE,FALSE
cellassign...54,0,0,0.37001200370147924,NA,TRUE,PBMC_AllCells_withLabels,GSE96583_8_Ctrl_Pats,TRUE,FALSE
seurat...55,0.3703676869486729,0.5355808689672704,0.5141946074324717,NA,FALSE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,NA
tscan...56,0.119314282124264,0.18081299802574755,0.3113067113615599,NA,FALSE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,NA
sc3...57,0.13375024085841397,0.20918446298397875,0.33205623717086025,NA,FALSE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,NA
seurat...58,NA,NA,NA,NA,FALSE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,TRUE
tscan...59,NA,NA,NA,NA,FALSE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,TRUE
sc3...60,NA,NA,NA,NA,FALSE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,TRUE
seurat...61,0.3703676869486729,0.5355808689672704,0.5141946074324717,NA,FALSE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,FALSE
tscan...62,0.119314282124264,0.18081299802574755,0.3113067113615599,NA,FALSE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,FALSE
sc3...63,0.13375024085841397,0.20918446298397875,0.33205623717086025,NA,FALSE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,FALSE
seurat...64,0.667342996024716,0.7267091966577963,0.7255140063101887,NA,FALSE,PBMC_AllCells_withLabels,GSE96583_8_Ctrl_Pats,FALSE,NA
tscan...65,0.24473226308001916,0.2884251069283389,0.42130959818026154,NA,FALSE,PBMC_AllCells_withLabels,GSE96583_8_Ctrl_Pats,FALSE,NA
sc3...66,0.2494017402777373,0.3572883452939773,0.3901963054539677,NA,FALSE,PBMC_AllCells_withLabels,GSE96583_8_Ctrl_Pats,FALSE,NA
seurat...67,NA,NA,NA,NA,FALSE,PBMC_AllCells_withLabels,GSE96583_8_Ctrl_Pats,FALSE,TRUE
tscan...68,NA,NA,NA,NA,FALSE,PBMC_AllCells_withLabels,GSE96583_8_Ctrl_Pats,FALSE,TRUE
sc3...69,NA,NA,NA,NA,FALSE,PBMC_AllCells_withLabels,GSE96583_8_Ctrl_Pats,FALSE,TRUE
seurat...70,0.667342996024716,0.7267091966577963,0.7255140063101887,NA,FALSE,PBMC_AllCells_withLabels,GSE96583_8_Ctrl_Pats,FALSE,FALSE
tscan...71,0.24473226308001916,0.2884251069283389,0.42130959818026154,NA,FALSE,PBMC_AllCells_withLabels,GSE96583_8_Ctrl_Pats,FALSE,FALSE
sc3...72,0.2494017402777373,0.3572883452939773,0.3901963054539677,NA,FALSE,PBMC_AllCells_withLabels,GSE96583_8_Ctrl_Pats,FALSE,FALSE
seurat...73,0.3290592812958253,0.4715849864360189,0.4523910554585168,NA,FALSE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,TRUE,NA
tscan...74,0.24491543495182233,0.3076557694979351,0.36525459694175383,NA,FALSE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,TRUE,NA
seurat...75,NA,NA,NA,NA,FALSE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,TRUE,TRUE
tscan...76,NA,NA,NA,NA,FALSE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,TRUE,TRUE
seurat...77,0.3290592812958253,0.4715849864360189,0.4523910554585168,NA,FALSE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,TRUE,FALSE
tscan...78,0.24491543495182233,0.3076557694979351,0.36525459694175383,NA,FALSE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,TRUE,FALSE
seurat...79,0.4946849181234573,0.4996341503325023,0.5596650881335437,NA,FALSE,PBMC_AllCells_withLabels,GSE96583_8_Ctrl_Pats,TRUE,NA
tscan...80,0.3390216059968412,0.40248758551552144,0.43309642083428285,NA,FALSE,PBMC_AllCells_withLabels,GSE96583_8_Ctrl_Pats,TRUE,NA
seurat...81,NA,NA,NA,NA,FALSE,PBMC_AllCells_withLabels,GSE96583_8_Ctrl_Pats,TRUE,TRUE
tscan...82,NA,NA,NA,NA,FALSE,PBMC_AllCells_withLabels,GSE96583_8_Ctrl_Pats,TRUE,TRUE
seurat...83,0.4946849181234573,0.4996341503325023,0.5596650881335437,NA,FALSE,PBMC_AllCells_withLabels,GSE96583_8_Ctrl_Pats,TRUE,FALSE
tscan...84,0.3390216059968412,0.40248758551552144,0.43309642083428285,NA,FALSE,PBMC_AllCells_withLabels,GSE96583_8_Ctrl_Pats,TRUE,FALSE
