method,ARI,AMI,FMI,unlabeled_pctg,cluster_num,pred_type_max_pctg,supervised,train_dataset,train_complexity,train_entropy,train_seq_depth_med,train_seq_depth_IQR,train_cell_types,train_cell_type_max_pctg,train_sparsity,train_sample_num,train_gene_num,test_dataset,test_complexity,test_entropy,test_seq_depth_med,test_seq_depth_IQR,test_cell_types,test_cell_type_max_pctg,test_sparsity,test_sample_num,test_gene_num,sample_pctg,assigned
scmap_cluster...1,0.4066665983794881,0.5815406888063622,0.5592707749824806,0.42527173913043476,8,0.42527173913043476,TRUE,GSE96583_8_Ctrl_Pats,0.9144907509883851,1.6408866987905264,0.07129487833928876,0.05598094265781861,8,0.41023890784982936,0.9661230809911877,1465,17631,GSE96583_8_Ctrl_Pats,0.9015911501665409,1.645534698964188,0.07152175146049572,0.062262492201236454,8,0.40896739130434784,0.9657395385597995,736,17631,0.05,NA
scmap_cell...2,0.4858088043611591,0.5511512768360801,0.6152792725027325,0.33016304347826086,8,0.33016304347826086,TRUE,GSE96583_8_Ctrl_Pats,0.9144907509883851,1.6408866987905264,0.07129487833928876,0.05598094265781861,8,0.41023890784982936,0.9661230809911877,1465,17631,GSE96583_8_Ctrl_Pats,0.9015911501665409,1.645534698964188,0.07152175146049572,0.062262492201236454,8,0.40896739130434784,0.9657395385597995,736,17631,0.05,NA
chetah...3,0.619986719447585,0.5838403590534498,0.7082316118011776,0.10869565217391304,9,0.33967391304347827,TRUE,GSE96583_8_Ctrl_Pats,0.9144907509883851,1.6408866987905264,0.07129487833928876,0.05598094265781861,8,0.41023890784982936,0.9661230809911877,1465,17631,GSE96583_8_Ctrl_Pats,0.9015911501665409,1.645534698964188,0.07152175146049572,0.062262492201236454,8,0.40896739130434784,0.9657395385597995,736,17631,0.05,NA
singlecellnet...4,0.8782922491180621,0.8040322290124594,0.9099007921611345,0,8,0.41983695652173914,TRUE,GSE96583_8_Ctrl_Pats,0.9144907509883851,1.6408866987905264,0.07129487833928876,0.05598094265781861,8,0.41023890784982936,0.9661230809911877,1465,17631,GSE96583_8_Ctrl_Pats,0.9015911501665409,1.645534698964188,0.07152175146049572,0.062262492201236454,8,0.40896739130434784,0.9657395385597995,736,17631,0.05,NA
garnett...5,0.2129139748529438,0.3753092499933522,0.43598591924665214,0.49320652173913043,7,0.49320652173913043,TRUE,GSE96583_8_Ctrl_Pats,0.9144907509883851,1.6408866987905264,0.07129487833928876,0.05598094265781861,8,0.41023890784982936,0.9661230809911877,1465,17631,GSE96583_8_Ctrl_Pats,0.9015911501665409,1.645534698964188,0.07152175146049572,0.062262492201236454,8,0.40896739130434784,0.9657395385597995,736,17631,0.05,NA
singleR...6,0.8319382013870886,0.7677992280952423,0.8766539628591633,0,8,0.44429347826086957,TRUE,GSE96583_8_Ctrl_Pats,0.9144907509883851,1.6408866987905264,0.07129487833928876,0.05598094265781861,8,0.41023890784982936,0.9661230809911877,1465,17631,GSE96583_8_Ctrl_Pats,0.9015911501665409,1.645534698964188,0.07152175146049572,0.062262492201236454,8,0.40896739130434784,0.9657395385597995,736,17631,0.05,NA
cellassign...7,0.6807290417939796,0.7144540570316942,0.7582339725663666,0,8,0.34646739130434784,TRUE,GSE96583_8_Ctrl_Pats,0.9144907509883851,1.6408866987905264,0.07129487833928876,0.05598094265781861,8,0.41023890784982936,0.9661230809911877,1465,17631,GSE96583_8_Ctrl_Pats,0.9015911501665409,1.645534698964188,0.07152175146049572,0.062262492201236454,8,0.40896739130434784,0.9657395385597995,736,17631,0.05,NA
scmap_cluster...8,0.9854477919848289,0.9331749235503899,0.9909741393109335,NA,NA,NA,TRUE,GSE96583_8_Ctrl_Pats,0.9144907509883851,1.6408866987905264,0.07129487833928876,0.05598094265781861,8,0.41023890784982936,0.9661230809911877,1465,17631,GSE96583_8_Ctrl_Pats,0.9015911501665409,1.645534698964188,0.07152175146049572,0.062262492201236454,8,0.40896739130434784,0.9657395385597995,736,17631,0.05,TRUE
scmap_cell...9,0.9691185063158932,0.9427624418124357,0.9809630163630912,NA,NA,NA,TRUE,GSE96583_8_Ctrl_Pats,0.9144907509883851,1.6408866987905264,0.07129487833928876,0.05598094265781861,8,0.41023890784982936,0.9661230809911877,1465,17631,GSE96583_8_Ctrl_Pats,0.9015911501665409,1.645534698964188,0.07152175146049572,0.062262492201236454,8,0.40896739130434784,0.9657395385597995,736,17631,0.05,TRUE
chetah...10,0.8894157257600218,0.7968534070884302,0.9305259561222128,NA,NA,NA,TRUE,GSE96583_8_Ctrl_Pats,0.9144907509883851,1.6408866987905264,0.07129487833928876,0.05598094265781861,8,0.41023890784982936,0.9661230809911877,1465,17631,GSE96583_8_Ctrl_Pats,0.9015911501665409,1.645534698964188,0.07152175146049572,0.062262492201236454,8,0.40896739130434784,0.9657395385597995,736,17631,0.05,TRUE
