method,ARI,AMI,FMI,unlabeled_pctg,cluster_num,pred_type_max_pctg,supervised,train_dataset,train_complexity,train_entropy,train_seq_depth_med,train_seq_depth_IQR,train_cell_types,train_cell_type_max_pctg,train_sparsity,train_sample_num,train_gene_num,test_dataset,test_complexity,test_entropy,test_seq_depth_med,test_seq_depth_IQR,test_cell_types,test_cell_type_max_pctg,test_sparsity,test_sample_num,test_gene_num,assigned
scmap_cluster...1,0.2689452369655388,0.44397303595402837,0.46899094728891144,0.4764768305624337,8,0.4764768305624337,TRUE,GSE96583_8_Ctrl_Pats,0.8956152941874085,1.6408641369006336,0.0709545686574783,0.06049004594180705,8,0.4103177314656645,0.9659744575512698,2927,17631,GSE96583_8_Stim_Pats,0.8800787829132712,1.6536120995775543,0.07503828483920368,0.064885712665192,8,0.41740360806508664,0.9655308143876321,2827,17631,NA
scmap_cell...2,0.3529284614267522,0.4322703594286695,0.5346309595207809,0.43190661478599224,8,0.43190661478599224,TRUE,GSE96583_8_Ctrl_Pats,0.8956152941874085,1.6408641369006336,0.0709545686574783,0.06049004594180705,8,0.4103177314656645,0.9659744575512698,2927,17631,GSE96583_8_Stim_Pats,0.8800787829132712,1.6536120995775543,0.07503828483920368,0.064885712665192,8,0.41740360806508664,0.9655308143876321,2827,17631,NA
chetah...3,0.331329879524928,0.45673606067974554,0.481032704618724,0.304209409267775,9,0.304209409267775,TRUE,GSE96583_8_Ctrl_Pats,0.8956152941874085,1.6408641369006336,0.0709545686574783,0.06049004594180705,8,0.4103177314656645,0.9659744575512698,2927,17631,GSE96583_8_Stim_Pats,0.8800787829132712,1.6536120995775543,0.07503828483920368,0.064885712665192,8,0.41740360806508664,0.9655308143876321,2827,17631,NA
singlecellnet...4,0.8414953449447143,0.7329061322825455,0.884213101640341,7.074637424831977e-4,9,0.4396887159533074,TRUE,GSE96583_8_Ctrl_Pats,0.8956152941874085,1.6408641369006336,0.0709545686574783,0.06049004594180705,8,0.4103177314656645,0.9659744575512698,2927,17631,GSE96583_8_Stim_Pats,0.8800787829132712,1.6536120995775543,0.07503828483920368,0.064885712665192,8,0.41740360806508664,0.9655308143876321,2827,17631,NA
garnett...5,0.1193344531918586,0.3312011473531603,0.36369764644017477,0.5224619738238415,9,0.5224619738238415,TRUE,GSE96583_8_Ctrl_Pats,0.8956152941874085,1.6408641369006336,0.0709545686574783,0.06049004594180705,8,0.4103177314656645,0.9659744575512698,2927,17631,GSE96583_8_Stim_Pats,0.8800787829132712,1.6536120995775543,0.07503828483920368,0.064885712665192,8,0.41740360806508664,0.9655308143876321,2827,17631,NA
singleR...6,0.8193163197461987,0.7348192175213437,0.8656715144435647,0,8,0.4280155642023346,TRUE,GSE96583_8_Ctrl_Pats,0.8956152941874085,1.6408641369006336,0.0709545686574783,0.06049004594180705,8,0.4103177314656645,0.9659744575512698,2927,17631,GSE96583_8_Stim_Pats,0.8800787829132712,1.6536120995775543,0.07503828483920368,0.064885712665192,8,0.41740360806508664,0.9655308143876321,2827,17631,NA
cellassign...7,0.6626365911876276,0.6391777660002896,0.7494167930188843,0,8,0.4039617969579059,TRUE,GSE96583_8_Ctrl_Pats,0.8956152941874085,1.6408641369006336,0.0709545686574783,0.06049004594180705,8,0.4103177314656645,0.9659744575512698,2927,17631,GSE96583_8_Stim_Pats,0.8800787829132712,1.6536120995775543,0.07503828483920368,0.064885712665192,8,0.41740360806508664,0.9655308143876321,2827,17631,NA
scmap_cluster...8,0.8671510478248629,0.8170702475046671,0.9115510634328016,NA,NA,NA,TRUE,GSE96583_8_Ctrl_Pats,0.8956152941874085,1.6408641369006336,0.0709545686574783,0.06049004594180705,8,0.4103177314656645,0.9659744575512698,2927,17631,GSE96583_8_Stim_Pats,0.8800787829132712,1.6536120995775543,0.07503828483920368,0.064885712665192,8,0.41740360806508664,0.9655308143876321,2827,17631,TRUE
scmap_cell...9,0.9089749077947432,0.8316638477259206,0.9411132212777839,NA,NA,NA,TRUE,GSE96583_8_Ctrl_Pats,0.8956152941874085,1.6408641369006336,0.0709545686574783,0.06049004594180705,8,0.4103177314656645,0.9659744575512698,2927,17631,GSE96583_8_Stim_Pats,0.8800787829132712,1.6536120995775543,0.07503828483920368,0.064885712665192,8,0.41740360806508664,0.9655308143876321,2827,17631,TRUE
chetah...10,0.7851836121751987,0.7440899459369485,0.8535626133730709,NA,NA,NA,TRUE,GSE96583_8_Ctrl_Pats,0.8956152941874085,1.6408641369006336,0.0709545686574783,0.06049004594180705,8,0.4103177314656645,0.9659744575512698,2927,17631,GSE96583_8_Stim_Pats,0.8800787829132712,1.6536120995775543,0.07503828483920368,0.064885712665192,8,0.41740360806508664,0.9655308143876321,2827,17631,TRUE
