method,ARI,AMI,FMI,unlabeled_pctg,supervised,sample_pctg,assigned
seurat...93,0.7413036145504659,0.6839437900330981,0.8401122352352406,NA,FALSE,0.6,FALSE
tscan...94,0.3239144316730524,0.40948030410837505,0.5322685622606732,NA,FALSE,0.6,FALSE
sc3...95,0.15098856049515394,0.286758639121701,0.4389286825630573,NA,FALSE,0.6,FALSE
liger...96,0.04726183288509678,0.05494393374300758,0.4794077380834378,NA,FALSE,0.6,FALSE
seurat...97,0.5022119559683423,0.5233775326481657,0.7040639221717834,NA,FALSE,0.8,NA
tscan...98,0.32630734314714877,0.3623100276198828,0.566166766482931,NA,FALSE,0.8,NA
sc3...99,0.3711016012350124,0.4213926003823598,0.6040863281093866,NA,FALSE,0.8,NA
liger...100,0.0235864731939492,0.04233806892843842,0.5058536005288232,NA,FALSE,0.8,NA
seurat...101,0.35060786224436286,0.4248651366008302,0.634831450808116,NA,FALSE,0.8,TRUE
tscan...102,0.2769288940854284,0.3502239549896292,0.5674665377560572,NA,FALSE,0.8,TRUE
sc3...103,0.31653303067695654,0.36840071143110664,0.6050099350158226,NA,FALSE,0.8,TRUE
liger...104,-0.011172394975393199,0.0580815661687393,0.5610114569887602,NA,FALSE,0.8,TRUE
seurat...105,0.7396100119002887,0.6639526045914891,0.8400974780154751,NA,FALSE,0.8,FALSE
tscan...106,0.36619092104069767,0.3786012739558228,0.5702667623811193,NA,FALSE,0.8,FALSE
sc3...107,0.45088877095297303,0.4787975089888139,0.6399509977411217,NA,FALSE,0.8,FALSE
liger...108,0.03485965122279945,0.049476830118889856,0.47843746926064207,NA,FALSE,0.8,FALSE
seurat...109,0.5776876860428468,0.5818551769411833,0.7559729471661752,NA,FALSE,1,NA
tscan...110,0.34934278679827124,0.3962016131224491,0.5861244255637637,NA,FALSE,1,NA
sc3...111,0.2932984910106033,0.3620175201836408,0.537762316359692,NA,FALSE,1,NA
liger...112,0.022648235492219636,0.04487606497894772,0.5062697429673786,NA,FALSE,1,NA
seurat...113,0.4664832266945925,0.4946076660059422,0.7226926999498491,NA,FALSE,1,TRUE
tscan...114,0.3028211281522898,0.3670849833401361,0.5918874812806924,NA,FALSE,1,TRUE
sc3...115,0.22980493342741137,0.304452466155458,0.5251229762034694,NA,FALSE,1,TRUE
liger...116,-0.009445044546180269,0.053359473759892834,0.561481760575842,NA,FALSE,1,TRUE
seurat...117,0.7821200543071071,0.7004701388672332,0.866930884880401,NA,FALSE,1,FALSE
tscan...118,0.3915999738461246,0.42303928414569086,0.5910280291696918,NA,FALSE,1,FALSE
sc3...119,0.4086488809139859,0.4329757356528499,0.6043117699623501,NA,FALSE,1,FALSE
liger...120,0.031199059309631585,0.05257534844884315,0.4735680861267179,NA,FALSE,1,FALSE
