method,ARI,AMI,FMI,unlabeled_pctg,supervised,sample_num,assigned
scmap_cluster...1,0.5828828690855189,0.6468638912161062,0.6344905920128484,0.0725,TRUE,100,NA
scmap_cell...2,0.09367650773100732,0.3553774713011614,0.3034608445070125,0.5925,TRUE,100,NA
chetah...3,0.47438802971087896,0.5538345924420338,0.5357311767618446,0.14125,TRUE,100,NA
singlecellnet...4,0.6958771450686828,0.7285080358141925,0.7338533300185147,0,TRUE,100,NA
garnett...5,0.0037280651856277354,0.019190470289298954,0.18948168032959467,0.46375,TRUE,100,NA
cellassign...6,0.6119376231672603,0.6859522497830933,0.662109397341541,0,TRUE,100,NA
scmap_cluster...7,0.8178142452304445,0.8508084238350134,0.8440851814093483,NA,TRUE,100,TRUE
scmap_cell...8,0.8027556859751878,0.8497812488779207,0.8311263012064154,NA,TRUE,100,TRUE
chetah...9,0.6684301688484606,0.7509230264392543,0.7163849615782394,NA,TRUE,100,TRUE
singlecellnet...10,0.7989110184261452,0.84005473953052,0.8271404023920036,NA,TRUE,100,TRUE
garnett...11,0.014356709000552161,0.10992955950233474,0.18543808929623362,NA,TRUE,100,TRUE
cellassign...12,0.7501162568044424,0.834047791078564,0.7868015524108274,NA,TRUE,100,TRUE
scmap_cluster...13,0.538991391615022,0.622624674399729,0.5971284817425372,NA,TRUE,100,FALSE
scmap_cell...14,0.043288143677393844,0.2535058497905383,0.30038221024549416,NA,TRUE,100,FALSE
chetah...15,0.4277413586375954,0.5282626046203875,0.49398144830395396,NA,TRUE,100,FALSE
singlecellnet...16,0.6740008230356166,0.7126786269077178,0.7152266198150837,NA,TRUE,100,FALSE
garnett...17,0.004279386783839874,0.0254089065044739,0.21573393988932327,NA,TRUE,100,FALSE
cellassign...18,0.5830552682961107,0.6639664481737771,0.6377556822537918,NA,TRUE,100,FALSE
scmap_cluster...19,0.590070577454513,0.6375146506850583,0.641007923649991,0.07433290978398983,TRUE,200,NA
scmap_cell...20,0.13864679603967245,0.40396233213837346,0.3194053408217623,0.5196950444726811,TRUE,200,NA
chetah...21,0.4393557920848267,0.5406781696007462,0.5048826518499349,0.16836086404066072,TRUE,200,NA
singlecellnet...22,0.7030152916075002,0.726097006499046,0.7402818328641474,0,TRUE,200,NA
garnett...23,0.00322303742446007,0.01968161521370831,0.18976061211050904,0.48856416772554,TRUE,200,NA
cellassign...24,0.6109108150597526,0.6808633488814486,0.6621010080637683,0,TRUE,200,NA
scmap_cluster...25,0.781239173790911,0.7918804793840863,0.8123833787737739,NA,TRUE,200,TRUE
scmap_cell...26,0.8334831631802534,0.8359299950259181,0.8574495388224941,NA,TRUE,200,TRUE
chetah...27,0.6685590043497478,0.7370184153158542,0.7158704584001878,NA,TRUE,200,TRUE
singlecellnet...28,0.8367279217226752,0.8478741313705416,0.8596914090811034,NA,TRUE,200,TRUE
garnett...29,0.0189597502389992,0.0643715765722912,0.16533220860842582,NA,TRUE,200,TRUE
cellassign...30,0.7993492531329525,0.8237938578202851,0.8280427187440484,NA,TRUE,200,TRUE
scmap_cluster...31,0.5460354072436283,0.6099571652970931,0.6033807276376196,NA,TRUE,200,FALSE
scmap_cell...32,0.058792763033768194,0.29132087180633803,0.29433709149328746,NA,TRUE,200,FALSE
chetah...33,0.38300762221652124,0.50856764509414,0.45457778740783455,NA,TRUE,200,FALSE
singlecellnet...34,0.6743793116426059,0.7002530282553515,0.7157453967099228,NA,TRUE,200,FALSE
garnett...35,4.3960782392507515e-4,0.02016498364529082,0.22603803143560228,NA,TRUE,200,FALSE
cellassign...36,0.5725586994066101,0.6509722424561136,0.630080524415547,NA,TRUE,200,FALSE
scmap_cluster...37,0.5958933778881944,0.6333691772801967,0.6486740055914295,0.08813077469793888,TRUE,400,NA
scmap_cell...38,0.1651382085456499,0.4308077276215202,0.33563624511993206,0.4886282871357498,TRUE,400,NA
chetah...39,0.4654885924055999,0.5165278380229019,0.5315638915845421,0.16382373845060413,TRUE,400,NA
singlecellnet...40,0.7201489603835497,0.7400622239735827,0.7574901615374272,0,TRUE,400,NA
garnett...41,0.0013394077304853711,0.01676522380581861,0.16596338980437192,0.3894811656005686,TRUE,400,NA
cellassign...42,0.6133623787586054,0.6778513114076792,0.666873039196089,0,TRUE,400,NA
scmap_cluster...43,0.8230530816910819,0.8253622701502791,0.848892899856369,NA,TRUE,400,TRUE
scmap_cell...44,0.8541958367261967,0.8544552870263128,0.8752975752800416,NA,TRUE,400,TRUE
chetah...45,0.7442309587618734,0.765438768635965,0.7805510093579033,NA,TRUE,400,TRUE
singlecellnet...46,0.8592868091818825,0.8572057654033632,0.8796389153578927,NA,TRUE,400,TRUE
garnett...47,0.010827433323741023,0.0428056859591684,0.15418680869250057,NA,TRUE,400,TRUE
cellassign...48,0.7724595184376246,0.8158068015090181,0.8052147946519088,NA,TRUE,400,TRUE
scmap_cluster...49,0.5210746697407769,0.5828587224402572,0.5844890517424114,NA,TRUE,400,FALSE
scmap_cell...50,0.05575658908468818,0.2794394202032545,0.29955715260186877,NA,TRUE,400,FALSE
chetah...51,0.37997209592740344,0.46271186661838304,0.4547933351902946,NA,TRUE,400,FALSE
singlecellnet...52,0.6827416153718965,0.7046097678064869,0.7258575176805241,NA,TRUE,400,FALSE
garnett...53,-0.0020746064289053593,0.014886368671890252,0.20187219674372459,NA,TRUE,400,FALSE
cellassign...54,0.569724585212292,0.6386486753110833,0.6308705803204755,NA,TRUE,400,FALSE
seurat...55,0.5936402702274761,0.7004613892039572,0.6513252965265356,NA,FALSE,100,NA
