method,ARI,AMI,FMI,unlabeled_pctg,sample_num,assigned
scmap_cluster...1,0.6121910346438724,0.6743488628830109,0.6591173442651306,0.13875,100,NA
scmap_cell...2,0.3137377201896848,0.5334623658681387,0.5005795993612219,0.5525,100,NA
chetah...3,0.5976418095394558,0.5917485713610035,0.6473252150410067,0.19875,100,NA
scmap_cluster...4,0.9898374029251211,0.9611209415497344,0.9923651023590198,NA,100,TRUE
scmap_cell...5,0.9883738330349631,0.9575855449087614,0.9912767373068513,NA,100,TRUE
chetah...6,0.931854899944491,0.8648729668651216,0.9486644452979797,NA,100,TRUE
scmap_cluster...7,0.28447942589923103,0.4007775178011101,0.41247491268051123,NA,100,FALSE
scmap_cell...8,0.02017759617632033,0.09373609092167903,0.41682955448019127,NA,100,FALSE
chetah...9,0.27421084180741606,0.3325242176695773,0.3874288015797055,NA,100,FALSE
scmap_cluster...10,0.6392874847297022,0.6791785909455371,0.6828510153763944,0.08875,200,NA
scmap_cell...11,0.31371040299995356,0.5274973982231963,0.5025670498957026,0.556875,200,NA
chetah...12,0.5933068803191381,0.5903876276363106,0.6432301185406779,0.19375,200,NA
scmap_cluster...13,0.9922204018388401,0.9510345419667827,0.9940860575298243,NA,200,TRUE
scmap_cell...14,0.9897225748793933,0.9315264013975513,0.9921893236255034,NA,200,TRUE
chetah...15,0.9328637149620257,0.8387907538635372,0.9489565723689599,NA,200,TRUE
scmap_cluster...16,0.36407192852058157,0.42674204707054275,0.4760482688971542,NA,200,FALSE
scmap_cell...17,0.022254267892566657,0.09192717752091235,0.42233347907804714,NA,200,FALSE
chetah...18,0.29369694610030056,0.3374466391328736,0.40573431627096945,NA,200,FALSE
scmap_cluster...19,0.6704768438929989,0.6993594551189026,0.7105575478216076,0.0546875,400,NA
scmap_cell...20,0.337240700266483,0.5526836375701426,0.5108893235880306,0.5271875,400,NA
chetah...21,0.6426103767551238,0.6394431664483936,0.687075505268128,0.1740625,400,NA
scmap_cluster...22,0.9832302183695993,0.9376711932070777,0.9869282361469067,NA,400,TRUE
scmap_cell...23,0.9815395154667519,0.9280186728929838,0.985627476184214,NA,400,TRUE
chetah...24,0.9253993692488249,0.8483921281671513,0.9418572562256173,NA,400,TRUE
scmap_cluster...25,0.3777703586515899,0.4335226833945924,0.4898926945478469,NA,400,FALSE
scmap_cell...26,0.02250819889559015,0.08748943783606355,0.43023199390579464,NA,400,FALSE
chetah...27,0.3437932938171502,0.3978161290001577,0.45248712778025596,NA,400,FALSE
seurat...28,0.45793974685473426,0.5763470430438732,0.5799908636214989,NA,100,NA
tscan...29,0.42517157243027975,0.5906020154145252,0.5109969902534794,NA,100,NA
seurat...30,0.9685836097255803,0.8977939616480827,0.9765121643100779,NA,100,TRUE
tscan...31,0.6870784939429512,0.7178478230571724,0.7607656361970142,NA,100,TRUE
seurat...32,0.17675752622269061,0.23598243992341525,0.4421111768478521,NA,100,FALSE
tscan...33,0.29960877088229815,0.4268866289396086,0.45501298235777987,NA,100,FALSE
seurat...34,0.42940267239458746,0.5665833188562798,0.5559717214906982,NA,200,NA
tscan...35,0.41581588427631505,0.5828064799243692,0.4988620557273482,NA,200,NA
seurat...36,0.9347799905560285,0.8899732969576813,0.9502795146205791,NA,200,TRUE
tscan...37,0.7299708757817158,0.7315359463643429,0.7920377375449894,NA,200,TRUE
seurat...38,0.16256661723686547,0.20740097638251062,0.4350049453646949,NA,200,FALSE
tscan...39,0.2805684449777286,0.41445083017883183,0.42434729712248975,NA,200,FALSE
seurat...40,0.5298697474939191,0.6483276979721878,0.6145893573649633,NA,400,NA
tscan...41,0.42855417204905494,0.5839614056899739,0.5091947919568287,NA,400,NA
seurat...42,0.9056153448661606,0.8669522976527372,0.9262113154690952,NA,400,TRUE
tscan...43,0.6905639752665594,0.7194896146994212,0.7576310273628428,NA,400,TRUE
seurat...44,0.28499735155772876,0.3483838398302146,0.4884745605587116,NA,400,FALSE
tscan...45,0.2634263243609697,0.3912523221339592,0.41385485943801686,NA,400,FALSE
