method,ARI,AMI,FMI,unlabeled_pctg,cluster_num,pred_type_max_pctg,supervised,train_dataset,train_complexity,train_entropy,train_seq_depth_med,train_seq_depth_IQR,train_cell_types,train_cell_type_max_pctg,train_sparsity,train_sample_num,train_gene_num,test_dataset,test_complexity,test_entropy,test_seq_depth_med,test_seq_depth_IQR,test_cell_types,test_cell_type_max_pctg,test_sparsity,test_sample_num,test_gene_num,train_test_correlation,unknown_type,assigned
scmap_cluster...1,0.5310228599172937,0.6123425078522577,0.5604694582364044,0.08672566371681416,25,0.13569321533923304,TRUE,midbrain_human,0.9691468956157957,2.9745510893496885,0.2690338436331985,0.21276432338333928,24,0.1252129471890971,0.8774070086632032,1174,19531,midbrain_human,0.9715792854739576,3.0063400846510233,0.2700322564128821,0.21478674927039065,25,0.12389380530973451,0.8770232452485717,1695,19531,0.9989877834898275,hOPC,NA
scmap_cell...2,0.0814213377219353,0.29056460568865033,0.27801812164619655,0.6519174041297935,22,0.6519174041297935,TRUE,midbrain_human,0.9691468956157957,2.9745510893496885,0.2690338436331985,0.21276432338333928,24,0.1252129471890971,0.8774070086632032,1174,19531,midbrain_human,0.9715792854739576,3.0063400846510233,0.2700322564128821,0.21478674927039065,25,0.12389380530973451,0.8770232452485717,1695,19531,0.9989877834898275,hOPC,NA
chetah...3,0.29201472451037314,0.5054502125367895,0.3438430536363654,0.21474926253687315,25,0.21474926253687315,TRUE,midbrain_human,0.9691468956157957,2.9745510893496885,0.2690338436331985,0.21276432338333928,24,0.1252129471890971,0.8774070086632032,1174,19531,midbrain_human,0.9715792854739576,3.0063400846510233,0.2700322564128821,0.21478674927039065,25,0.12389380530973451,0.8770232452485717,1695,19531,0.9989877834898275,hOPC,NA
singlecellnet...4,0.8440338496411796,0.8638404731251214,0.8552156635923739,0.0011799410029498525,25,0.14926253687315635,TRUE,midbrain_human,0.9691468956157957,2.9745510893496885,0.2690338436331985,0.21276432338333928,24,0.1252129471890971,0.8774070086632032,1174,19531,midbrain_human,0.9715792854739576,3.0063400846510233,0.2700322564128821,0.21478674927039065,25,0.12389380530973451,0.8770232452485717,1695,19531,0.9989877834898275,hOPC,NA
garnett...5,0.02139161031132095,0.09326164209873462,0.2574545042666982,0.8955752212389381,2,0.8955752212389381,TRUE,midbrain_human,0.9691468956157957,2.9745510893496885,0.2690338436331985,0.21276432338333928,24,0.1252129471890971,0.8774070086632032,1174,19531,midbrain_human,0.9715792854739576,3.0063400846510233,0.2700322564128821,0.21478674927039065,25,0.12389380530973451,0.8770232452485717,1695,19531,0.9989877834898275,hOPC,NA
singleR...6,0.6295895035439013,0.6901386775952154,0.6537399563360327,0,24,0.14985250737463127,TRUE,midbrain_human,0.9691468956157957,2.9745510893496885,0.2690338436331985,0.21276432338333928,24,0.1252129471890971,0.8774070086632032,1174,19531,midbrain_human,0.9715792854739576,3.0063400846510233,0.2700322564128821,0.21478674927039065,25,0.12389380530973451,0.8770232452485717,1695,19531,0.9989877834898275,hOPC,NA
cellassign...7,0.5523566124788686,0.6686034132445628,0.5949683752402959,0,25,0.184070796460177,TRUE,midbrain_human,0.9691468956157957,2.9745510893496885,0.2690338436331985,0.21276432338333928,24,0.1252129471890971,0.8774070086632032,1174,19531,midbrain_human,0.9715792854739576,3.0063400846510233,0.2700322564128821,0.21478674927039065,25,0.12389380530973451,0.8770232452485717,1695,19531,0.9989877834898275,hOPC,NA
scmap_cluster...8,0,0,0.9933992677987828,NA,NA,NA,TRUE,midbrain_human,0.9691468956157957,2.9745510893496885,0.2690338436331985,0.21276432338333928,24,0.1252129471890971,0.8774070086632032,1174,19531,midbrain_human,0.9715792854739576,3.0063400846510233,0.2700322564128821,0.21478674927039065,25,0.12389380530973451,0.8770232452485717,1695,19531,0.9989877834898275,hOPC,TRUE
scmap_cell...9,1,NA,1,NA,NA,NA,TRUE,midbrain_human,0.9691468956157957,2.9745510893496885,0.2690338436331985,0.21276432338333928,24,0.1252129471890971,0.8774070086632032,1174,19531,midbrain_human,0.9715792854739576,3.0063400846510233,0.2700322564128821,0.21478674927039065,25,0.12389380530973451,0.8770232452485717,1695,19531,0.9989877834898275,hOPC,TRUE
chetah...10,0,0,0.887885626263821,NA,NA,NA,TRUE,midbrain_human,0.9691468956157957,2.9745510893496885,0.2690338436331985,0.21276432338333928,24,0.1252129471890971,0.8774070086632032,1174,19531,midbrain_human,0.9715792854739576,3.0063400846510233,0.2700322564128821,0.21478674927039065,25,0.12389380530973451,0.8770232452485717,1695,19531,0.9989877834898275,hOPC,TRUE
singlecellnet...11,1,NA,1,NA,NA,NA,TRUE,midbrain_human,0.9691468956157957,2.9745510893496885,0.2690338436331985,0.21276432338333928,24,0.1252129471890971,0.8774070086632032,1174,19531,midbrain_human,0.9715792854739576,3.0063400846510233,0.2700322564128821,0.21478674927039065,25,0.12389380530973451,0.8770232452485717,1695,19531,0.9989877834898275,hOPC,TRUE
garnett...12,1,NA,1,NA,NA,NA,TRUE,midbrain_human,0.9691468956157957,2.9745510893496885,0.2690338436331985,0.21276432338333928,24,0.1252129471890971,0.8774070086632032,1174,19531,midbrain_human,0.9715792854739576,3.0063400846510233,0.2700322564128821,0.21478674927039065,25,0.12389380530973451,0.8770232452485717,1695,19531,0.9989877834898275,hOPC,TRUE
singleR...13,1,NA,1,NA,NA,NA,TRUE,midbrain_human,0.9691468956157957,2.9745510893496885,0.2690338436331985,0.21276432338333928,24,0.1252129471890971,0.8774070086632032,1174,19531,midbrain_human,0.9715792854739576,3.0063400846510233,0.2700322564128821,0.21478674927039065,25,0.12389380530973451,0.8770232452485717,1695,19531,0.9989877834898275,hOPC,TRUE
cellassign...14,0,0,0.9933992677987828,NA,NA,NA,TRUE,midbrain_human,0.9691468956157957,2.9745510893496885,0.2690338436331985,0.21276432338333928,24,0.1252129471890971,0.8774070086632032,1174,19531,midbrain_human,0.9715792854739576,3.0063400846510233,0.2700322564128821,0.21478674927039065,25,0.12389380530973451,0.8770232452485717,1695,19531,0.9989877834898275,hOPC,TRUE
scmap_cluster...15,0.4394381353685056,0.5795162461450146,0.4742590030544165,NA,NA,NA,TRUE,midbrain_human,0.9691468956157957,2.9745510893496885,0.2690338436331985,0.21276432338333928,24,0.1252129471890971,0.8774070086632032,1174,19531,midbrain_human,0.9715792854739576,3.0063400846510233,0.2700322564128821,0.21478674927039065,25,0.12389380530973451,0.8770232452485717,1695,19531,0.9989877834898275,hOPC,FALSE
scmap_cell...16,0.042081148599136704,0.2284483207487926,0.23836648788464682,NA,NA,NA,TRUE,midbrain_human,0.9691468956157957,2.9745510893496885,0.2690338436331985,0.21276432338333928,24,0.1252129471890971,0.8774070086632032,1174,19531,midbrain_human,0.9715792854739576,3.0063400846510233,0.2700322564128821,0.21478674927039065,25,0.12389380530973451,0.8770232452485717,1695,19531,0.9989877834898275,hOPC,FALSE
chetah...17,0.21912134871422478,0.46987822088696046,0.2787270661205889,NA,NA,NA,TRUE,midbrain_human,0.9691468956157957,2.9745510893496885,0.2690338436331985,0.21276432338333928,24,0.1252129471890971,0.8774070086632032,1174,19531,midbrain_human,0.9715792854739576,3.0063400846510233,0.2700322564128821,0.21478674927039065,25,0.12389380530973451,0.8770232452485717,1695,19531,0.9989877834898275,hOPC,FALSE
singlecellnet...18,0.808120045523332,0.8521103391332704,0.821822168959345,NA,NA,NA,TRUE,midbrain_human,0.9691468956157957,2.9745510893496885,0.2690338436331985,0.21276432338333928,24,0.1252129471890971,0.8774070086632032,1174,19531,midbrain_human,0.9715792854739576,3.0063400846510233,0.2700322564128821,0.21478674927039065,25,0.12389380530973451,0.8770232452485717,1695,19531,0.9989877834898275,hOPC,FALSE
garnett...19,0.0024151397683899348,0.016029567882211045,0.23965888087972625,NA,NA,NA,TRUE,midbrain_human,0.9691468956157957,2.9745510893496885,0.2690338436331985,0.21276432338333928,24,0.1252129471890971,0.8774070086632032,1174,19531,midbrain_human,0.9715792854739576,3.0063400846510233,0.2700322564128821,0.21478674927039065,25,0.12389380530973451,0.8770232452485717,1695,19531,0.9989877834898275,hOPC,FALSE
singleR...20,0.5529291587095201,0.6644311820500675,0.5814545429819769,NA,NA,NA,TRUE,midbrain_human,0.9691468956157957,2.9745510893496885,0.2690338436331985,0.21276432338333928,24,0.1252129471890971,0.8774070086632032,1174,19531,midbrain_human,0.9715792854739576,3.0063400846510233,0.2700322564128821,0.21478674927039065,25,0.12389380530973451,0.8770232452485717,1695,19531,0.9989877834898275,hOPC,FALSE
cellassign...21,0.4717138181574907,0.6430293964432765,0.5218825312214351,NA,NA,NA,TRUE,midbrain_human,0.9691468956157957,2.9745510893496885,0.2690338436331985,0.21276432338333928,24,0.1252129471890971,0.8774070086632032,1174,19531,midbrain_human,0.9715792854739576,3.0063400846510233,0.2700322564128821,0.21478674927039065,25,0.12389380530973451,0.8770232452485717,1695,19531,0.9989877834898275,hOPC,FALSE
