method,ARI,AMI,FMI,unlabeled_pctg,supervised,sample_pctg,assigned
scmap_cluster...1,0.6609811725142245,0.6829269670984002,0.7074706410225948,0.0834902699309479,TRUE,0.03,NA
scmap_cell...2,0.26596893188832954,0.5052103664407315,0.4653122220807201,0.5737602008788449,TRUE,0.03,NA
chetah...3,0.5437487538060587,0.6180268841486093,0.6061546636817723,0.1876961707470182,TRUE,0.03,NA
singlecellnet...4,0.6961995035018379,0.7379582946077257,0.7394035123543652,0,TRUE,0.03,NA
garnett...5,0.45682545404828057,0.49625542719999416,0.5296550932217456,0.1713747645951036,TRUE,0.03,NA
cellassign...6,0.22250757737804547,0.3904945322305933,0.4976418520719027,0,TRUE,0.03,NA
scmap_cluster...7,0.9810359348750695,0.9386295455692782,0.9859932259782653,NA,TRUE,0.03,TRUE
scmap_cell...8,0.9963296346857456,0.9773365806534549,0.9972894566976812,NA,TRUE,0.03,TRUE
chetah...9,0.9672517067520738,0.9212099739021535,0.9757809890603154,NA,TRUE,0.03,TRUE
singlecellnet...10,0.9941398637829593,0.9641896049869094,0.9956687689126623,NA,TRUE,0.03,TRUE
garnett...11,0.935090262418704,0.8512329127302907,0.9518739665921798,NA,TRUE,0.03,TRUE
cellassign...12,0.8444032909407125,0.734991806578668,0.8947947656974818,NA,TRUE,0.03,TRUE
scmap_cluster...13,0.5277600877237845,0.6021639387699885,0.5977852653034027,NA,TRUE,0.03,FALSE
scmap_cell...14,0.131620839885378,0.349612406432989,0.4158427817267007,NA,TRUE,0.03,FALSE
chetah...15,0.38623327682707825,0.5286869513327462,0.47978485006908866,NA,TRUE,0.03,FALSE
singlecellnet...16,0.5750389556732767,0.6642430457383479,0.6416559295277915,NA,TRUE,0.03,FALSE
garnett...17,0.2898658895230584,0.3942872563444895,0.3932272865360116,NA,TRUE,0.03,FALSE
cellassign...18,0.12242037688714609,0.2674292452395691,0.4578052701487879,NA,TRUE,0.03,FALSE
scmap_cluster...19,0.6726755263156472,0.686497227364514,0.7176445525277734,0.0839924670433145,TRUE,0.05,NA
scmap_cell...20,0.27070662371635057,0.5034611542669487,0.46418262646768643,0.5612052730696798,TRUE,0.05,NA
chetah...21,0.5525471987616799,0.621146226123681,0.6134414100470346,0.17853107344632768,TRUE,0.05,NA
singlecellnet...22,0.6888053053030084,0.736926437264939,0.7335701931182584,0,TRUE,0.05,NA
garnett...23,0.4260038331075481,0.47158921274802706,0.5027784671272097,0.18116760828625236,TRUE,0.05,NA
cellassign...24,0.2215381722604506,0.38912320718315735,0.4974982233639547,0,TRUE,0.05,NA
scmap_cluster...25,0.9868409363243225,0.9442760007176975,0.9902592296272732,NA,TRUE,0.05,TRUE
scmap_cell...26,0.9870354071582348,0.948056993794725,0.9904065839293804,NA,TRUE,0.05,TRUE
chetah...27,0.9398736162231083,0.889992652946458,0.9554769627197764,NA,TRUE,0.05,TRUE
singlecellnet...28,0.9820543414428493,0.9252587089910391,0.9867127612343993,NA,TRUE,0.05,TRUE
garnett...29,0.9093528694623939,0.7882550730830186,0.9326422545979385,NA,TRUE,0.05,TRUE
cellassign...30,0.8385712987129892,0.7227862625276454,0.890498927341349,NA,TRUE,0.05,TRUE
scmap_cluster...31,0.5544904935092336,0.6178201627224612,0.619771615997297,NA,TRUE,0.05,FALSE
scmap_cell...32,0.14603104136224448,0.3749620964489256,0.4128515549122326,NA,TRUE,0.05,FALSE
chetah...33,0.42099181350063536,0.5496891761989381,0.5067273653296681,NA,TRUE,0.05,FALSE
singlecellnet...34,0.5861432872899385,0.6796337962667852,0.6509867589808989,NA,TRUE,0.05,FALSE
garnett...35,0.28500170177104917,0.38726183281757864,0.3882942015548382,NA,TRUE,0.05,FALSE
cellassign...36,0.13236209160852136,0.2833360333296653,0.4614978138979121,NA,TRUE,0.05,FALSE
scmap_cluster...37,0.6568062627437997,0.6789845024684955,0.7039225231980883,0.07864374852837297,TRUE,0.08,NA
scmap_cell...38,0.26657791672118747,0.4975524711792137,0.4636801902322364,0.5681657640687544,TRUE,0.08,NA
chetah...39,0.5330783685809793,0.6161072154040577,0.596991028035555,0.1916647044972922,TRUE,0.08,NA
singlecellnet...40,0.6941540620890759,0.7328650805874315,0.7380233307427702,0,TRUE,0.08,NA
garnett...41,0.4424499733903149,0.48086622590452466,0.5169344275309927,0.16858959265363785,TRUE,0.08,NA
cellassign...42,0.22290592071812113,0.39673479274294204,0.4989072073807949,0,TRUE,0.08,NA
scmap_cluster...43,0.9910242598995893,0.9521146623923822,0.9932752157097193,NA,TRUE,0.08,TRUE
scmap_cell...44,0.986153401454983,0.9376457356553071,0.9896369497579666,NA,TRUE,0.08,TRUE
chetah...45,0.967817537088417,0.920280440499322,0.9758867863061208,NA,TRUE,0.08,TRUE
singlecellnet...46,0.9904153025877878,0.9567022383035406,0.992820425571688,NA,TRUE,0.08,TRUE
garnett...47,0.9186994743536899,0.8004075766071727,0.9388915945057468,NA,TRUE,0.08,TRUE
cellassign...48,0.8391936241078338,0.7463032086139294,0.8901170160492469,NA,TRUE,0.08,TRUE
scmap_cluster...49,0.5589451419974107,0.6238652117637035,0.6216975587893272,NA,TRUE,0.08,FALSE
scmap_cell...50,0.16959742612424697,0.39959738751420065,0.42311613041563734,NA,TRUE,0.08,FALSE
chetah...51,0.4191395601711583,0.5565463581817837,0.503160285158337,NA,TRUE,0.08,FALSE
singlecellnet...52,0.6091727437534113,0.684515960655729,0.6681595265696173,NA,TRUE,0.08,FALSE
garnett...53,0.3239294179087849,0.4167567782852455,0.4176563639582801,NA,TRUE,0.08,FALSE
