method,ARI,AMI,FMI,unlabeled_pctg,supervised,sample_pctg,assigned
scmap_cluster...1,0.5461986759508906,0.6997080438724214,0.6541827447733708,0.3037074657186389,TRUE,0.02,NA
scmap_cell...2,0.9609119307039329,0.9256238505611512,0.9706458001379231,0.046724225495175215,TRUE,0.02,NA
chetah...3,0.7027139872408776,0.7403959988146033,0.7769169699369249,0.1340782122905028,TRUE,0.02,NA
singlecellnet...4,0.9647892799675645,0.9414994920117283,0.9736050912979106,0,TRUE,0.02,NA
garnett...5,0.4400066664349347,0.5144545131068075,0.5636601137994043,0.12798374809547994,TRUE,0.02,NA
cellassign...6,0.9367667127068099,0.9161440432793586,0.9524605087028404,0,TRUE,0.02,NA
scmap_cluster...7,1,1,1,NA,TRUE,0.02,TRUE
scmap_cell...8,1,1,1,NA,TRUE,0.02,TRUE
chetah...9,0.9837971472460842,0.9690465447444392,0.9881778743456661,NA,TRUE,0.02,TRUE
singlecellnet...10,0.991511126608798,0.9878005273299605,0.9938041425810143,NA,TRUE,0.02,TRUE
garnett...11,0.5756917413670295,0.6511126177332741,0.6849445040910264,NA,TRUE,0.02,TRUE
cellassign...12,0.9785881742380579,0.9579972270323142,0.9843574188232272,NA,TRUE,0.02,TRUE
scmap_cluster...13,0.30577238661248074,0.5487866643187981,0.4948346917323393,NA,TRUE,0.02,FALSE
scmap_cell...14,0.9335815107863679,0.8926761982783388,0.9495500342324319,NA,TRUE,0.02,FALSE
chetah...15,0.5899586587855834,0.6869891818043189,0.6845323984125629,NA,TRUE,0.02,FALSE
singlecellnet...16,0.9488159685882418,0.9225536913753795,0.9612245654868667,NA,TRUE,0.02,FALSE
garnett...17,0.38449854041149145,0.4803591594311089,0.5128370449333892,NA,TRUE,0.02,FALSE
cellassign...18,0.9144703378341617,0.9019945141028464,0.9349723148684375,NA,TRUE,0.02,FALSE
scmap_cluster...19,0.5726575304273586,0.7095444606751053,0.6750858739889574,0.29505420054200543,TRUE,0.03,NA
scmap_cell...20,0.9755581029216381,0.9398880102623276,0.9816643052543297,0.043021680216802166,TRUE,0.03,NA
chetah...21,0.7345273707317326,0.7506696313784709,0.8014166410621036,0.11382113821138211,TRUE,0.03,NA
singlecellnet...22,0.9637862164812114,0.9472581010274845,0.9728570394457786,0,TRUE,0.03,NA
garnett...23,0.445493552706887,0.516237489882826,0.5683356768074879,0.1236449864498645,TRUE,0.03,NA
cellassign...24,0.9449531124403808,0.9273645712805437,0.9586481839244585,0,TRUE,0.03,NA
scmap_cluster...25,0.9971585717106795,0.9949441703353559,0.9979522446590032,NA,TRUE,0.03,TRUE
scmap_cell...26,0.9971585717106795,0.9949441703353559,0.9979522446590032,NA,TRUE,0.03,TRUE
chetah...27,0.9785267688328876,0.9633813659160656,0.9845436304337977,NA,TRUE,0.03,TRUE
singlecellnet...28,0.9937819168508726,0.9898951078939154,0.9955177904581844,NA,TRUE,0.03,TRUE
garnett...29,0.5544536773466888,0.6454143896578742,0.6693413180558387,NA,TRUE,0.03,TRUE
cellassign...30,0.9773890301539901,0.9630530267388131,0.9836890614373889,NA,TRUE,0.03,TRUE
scmap_cluster...31,0.35561529409954906,0.5837514404995398,0.5243021695740058,NA,TRUE,0.03,FALSE
scmap_cell...32,0.9616530400271278,0.9192282659837762,0.9708670729313954,NA,TRUE,0.03,FALSE
chetah...33,0.6401246967527938,0.7025317698162116,0.7250408763256193,NA,TRUE,0.03,FALSE
singlecellnet...34,0.9495411256024459,0.9316779204106351,0.9617275200283802,NA,TRUE,0.03,FALSE
garnett...35,0.40611390641642214,0.48656323476210184,0.5305173401935945,NA,TRUE,0.03,FALSE
cellassign...36,0.9301007165038764,0.9143232878183737,0.9468295246447331,NA,TRUE,0.03,FALSE
scmap_cluster...37,0.5554797153777176,0.7017779053728896,0.662141167175034,0.303430749682338,TRUE,0.04,NA
scmap_cell...38,0.9687777546990449,0.9295767260314488,0.9765794176346896,0.0434561626429479,TRUE,0.04,NA
chetah...39,0.7210104490038212,0.7458341215956107,0.7910496300248048,0.11918678526048285,TRUE,0.04,NA
singlecellnet...40,0.9606484211500322,0.9341972158433468,0.9705448652654646,0,TRUE,0.04,NA
garnett...41,0.4369521019847087,0.5088283185684959,0.5613219356038187,0.12909783989834817,TRUE,0.04,NA
cellassign...42,0.939799303979156,0.911138848128159,0.954773089628777,0,TRUE,0.04,NA
scmap_cluster...43,0.9971140690607894,0.9957145192522918,0.9978734279961533,NA,TRUE,0.04,TRUE
scmap_cell...44,1,1,1,NA,TRUE,0.04,TRUE
chetah...45,0.9834222877689734,0.9709931054666424,0.9877956098954274,NA,TRUE,0.04,TRUE
singlecellnet...46,0.9856751654250273,0.9822690803728962,0.9894551120716888,NA,TRUE,0.04,TRUE
garnett...47,0.5728979293156008,0.6444178878362107,0.6778382284744325,NA,TRUE,0.04,TRUE
cellassign...48,0.9796427019763735,0.9713381775222639,0.9849866567428055,NA,TRUE,0.04,TRUE
scmap_cluster...49,0.3715711887006861,0.5891617134827835,0.5371878810420796,NA,TRUE,0.04,FALSE
scmap_cell...50,0.9535049766877952,0.907033291828672,0.9650686354042401,NA,TRUE,0.04,FALSE
chetah...51,0.6335681291287713,0.6996525625123821,0.7225943946410328,NA,TRUE,0.04,FALSE
singlecellnet...52,0.9501039131254609,0.9191305672677822,0.9626201551626394,NA,TRUE,0.04,FALSE
garnett...53,0.3943836777381715,0.47931903842680573,0.5244153007762928,NA,TRUE,0.04,FALSE
cellassign...54,0.9238486882295809,0.8913103667097199,0.9427016049687236,NA,TRUE,0.04,FALSE
